id,Robot Name,Robot Type,Map Name,Error Code,Title,Description,status,Assigned User,note,Time Stamp,Resolution Time,Resolution Time (s),Unique ID
380302,TCF_EDU_3,MAG_FORKLIFT,TCF_EDU,WF1-1.2,Robot is Offline,,RESOLVED,,,2026-08-04 21:19:39 +07:00,00h 00m 00s,0,
380301,TCF_EDU_1,MAG_FORKLIFT,TCF_EDU,EH4-4.8,Brake Engaged,,RESOLVED,,,2026-08-04 21:19:23 +07:00,00h 00m 43s,43,b88388b5-4910-4050-aea7-a47bd8096f05
380300,TCF_EDU_1,MAG_FORKLIFT,TCF_EDU,ES4-4.5,Protective field breach,Protective field breach,RESOLVED,,,2026-08-04 21:19:22 +07:00,00h 00m 01s,1,ded58b1e-87c9-40d4-ba09-8cb90bf67942
380299,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,EH4-4.8,Brake Engaged,,RESOLVED,,,2026-08-04 21:18:35 +07:00,00h 00m 00s,0,c74e1427-9837-414b-bb49-0075b1ac6ee5
380298,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,ES4-4.5,Protective field breach,Protective field breach,RESOLVED,,,2026-08-04 21:18:34 +07:00,00h 00m 01s,1,851dfaa7-bc0c-41e7-a8e4-5a5c940f6ddc
380297,TCF_EDU_1,MAG_FORKLIFT,TCF_EDU,EH4-4.8,Brake Engaged,,RESOLVED,,,2026-08-04 21:18:19 +07:00,00h 00m 01s,1,5b4f6b90-4967-4dcd-bf2f-26739bb9c6ae
380296,TCF_EDU_1,MAG_FORKLIFT,TCF_EDU,ES4-4.5,Protective field breach,Protective field breach,RESOLVED,,,2026-08-04 21:18:18 +07:00,00h 00m 01s,1,1e46c8e9-07bc-4b00-86ef-37347e17a501
380295,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,EH4-4.8,Brake Engaged,,RESOLVED,,,2026-08-04 21:17:32 +07:00,00h 00m 02s,2,c18c207c-5488-48af-840a-06c85eb24d42
380294,TCF_EDU_3,MAG_FORKLIFT,TCF_EDU,EH4-4.8,Brake Engaged,,RESOLVED,,,2026-08-04 21:17:01 +07:00,00h 00m 02s,2,86d00c56-3692-433c-9587-d415e65b7c52
380293,TCF_EDU_3,MAG_FORKLIFT,TCF_EDU,ES4-4.5,Protective field breach,Protective field breach,RESOLVED,,,2026-08-04 21:16:59 +07:00,00h 00m 02s,2,6ced9831-9e5b-41b4-95e3-91b4eda45636
380292,TCF_EDU_1,MAG_FORKLIFT,TCF_EDU,EH4-4.8,Brake Engaged,,RESOLVED,,,2026-08-04 21:16:56 +07:00,00h 00m 00s,0,556380f8-587c-48e8-a793-b3ca7e1b09d3
380291,TCF_EDU_1,MAG_FORKLIFT,TCF_EDU,ES4-4.5,Protective field breach,Protective field breach,RESOLVED,,,2026-08-04 21:16:55 +07:00,00h 00m 01s,1,20644fbc-9df9-4984-b7b8-2f11d220b8a4
380290,TCF_EDU_1,MAG_FORKLIFT,TCF_EDU,EH4-4.8,Brake Engaged,,RESOLVED,,,2026-08-04 21:16:51 +07:00,00h 00m 01s,1,b1582260-773b-41ef-927d-4178267b5009
